comment_id,user_id,username,text,created_at,likes
18071031373705024,20037234092,kiarashartwork1,بفرست,2025-02-04 05:03:15,0
18023527952638945,39289532435,abolfazl.jvhr,کامنت,2025-02-04 03:55:15,0
18071877043778874,68330458973,ly4027hmdy,😍,2025-02-03 19:01:38,0
18059838805798992,68330458973,ly4027hmdy,😍,2025-02-03 18:55:43,0
18391726786096732,68330458973,ly4027hmdy,😍,2025-02-03 18:55:32,0
18079845184618039,45740346482,t.masood.99,😍,2025-02-02 15:02:53,0
18020677712419815,9166647977,saman.rmzany,بفرست,2025-02-02 05:53:30,0
18073907995735095,70538520338,arash.vocalist,بارکلا,2025-02-01 21:25:52,0
17886217338197789,66392852041,giga_chat98,بفرست,2025-02-01 09:59:35,0
18054128761889635,49814885240,fk.00000000,بفرست,2025-02-01 09:34:50,0
17965197155838137,69581933336,i_24748,سینما,2025-01-31 11:59:19,0
18061687627900195,1257735048,psycho_official._,❤️🔥,2025-01-31 11:44:26,0
18061933618916514,59133038681,mohadeese._sl,عالیه,2025-01-31 07:56:38,0
18031107188270292,23186271106,milad1_78,کامنت,2025-01-29 21:13:45,0
18055085978097558,50881509290,ali.velayat313,👏,2025-01-29 15:15:20,0
18054553094479802,59812243038,somebody.u.dnk,به به,2025-01-28 13:26:33,0
18283577662216894,64493542110,moxtabai,yo,2025-01-27 23:04:29,0
18070376134740401,66254963202,mohishakeri_,سلام,2025-01-26 10:08:18,0
18051171740139384,57170821586,masih_sojoodi,🔥,2025-01-25 23:50:59,0
17933112665989285,32528863898,sinaart__,Plugin,2025-01-25 19:02:26,0
17998500866584538,58489883641,h.hoseinkarimi,سلام,2025-01-25 16:25:09,0
18053170811079076,60175424970,sahar.makvandinia,🔥,2025-01-24 01:03:38,0
18133209985382858,55209373169,ali_taghian55,بفرست,2025-01-23 22:31:41,0
18037810532136565,57166011143,hsm.artwork,ا,2025-01-23 22:16:53,0
18106055902464682,61894170904,khashiturkish,Alo,2025-01-22 22:50:28,0
18314559292202697,62038874823,itsmoghaddam,👏👏👏,2025-01-22 20:35:53,0
17980443041653102,1974246642,abol.azd,خب,2025-01-22 10:45:13,0
18117230086425924,48311623413,amirh.loriyan,اهم,2025-01-22 08:31:53,0
18049059257169431,67968012484,y3w.z,🔥,2025-01-22 08:29:12,0
18037702496381377,1607764735,hossain_mn,🔥,2025-01-21 17:27:02,0
17920818723033478,22126208163,zahraafatemii_nassb,بلهه,2025-01-20 21:19:45,0
17997826964725701,3108486632,meysamgorji.ir,👏,2025-01-19 20:40:09,0
17981872565648400,3556823301,arsalan.gk,میو,2025-01-18 21:05:00,0
18047989085326829,52608357132,rza_rahimi850,🔥,2025-01-18 19:32:11,0
17953402553910107,48919517871,memoel_picture,لایک,2025-01-18 06:34:50,0
18080373100609530,49225321454,potter._x1,به به,2025-01-18 01:40:13,0
18044613272265213,49225321454,potter._x1,🔥,2025-01-18 01:39:40,0
18072389359660564,2374301988,hamidreza_rahimi00,Salam,2025-01-17 19:59:25,0
18022806992370099,64172557516,mh.zarezade1999,🔥,2025-01-17 14:13:19,0
18038195168123367,2214988907,alireza_shabanpour_oumaly,کامنت,2025-01-17 13:50:24,0
18087887056556257,2273305850,hukret_patmin,🔥🔥🔥,2025-01-17 12:37:34,0
17893805886140002,20414315865,mohammad.hosein.valiloo,.,2025-01-17 09:35:11,0
18104138992465878,4090475156,kr._mohammad,❤️,2025-01-17 07:15:51,0
18046504754332557,67101962485,mr_ghorbani.official,هرچی,2025-01-16 23:07:41,0
17897993865121287,9165006847,barbod_boroujerdian,❤️,2025-01-16 21:50:11,0
18092819596519220,45069568531,pouya__yt,🔥🔥🔥,2025-01-16 20:26:19,0
18065618968871535,60570035488,shin3ei,به به,2025-01-16 20:21:05,0
18481140805017832,10196871688,forooghi781,🔥🔥,2025-01-16 17:45:31,0
18028620671292097,2138700193,_samadalizadeh_,هرچیزی,2025-01-16 13:43:11,0
18074414074724437,2138700193,_samadalizadeh_,بفرست,2025-01-16 13:43:06,0
